Borough,City,Latitude,Longitude,Neighborhood,Postal Code
Brooklyn,New York,40.69084402109802,-73.98346337431099,Downtown,XXX
Brooklyn,New York,40.685682912091444,-73.98374824115798,Boerum Hill,XXX
Brooklyn,New York,40.658420017469815,-73.95489867077713,Prospect Lefferts Gardens,XXX
Brooklyn,New York,40.678402554795355,-73.91306831787395,Ocean Hill,XXX
Brooklyn,New York,40.67856995727479,-73.86797598081334,City Line,XXX
Brooklyn,New York,40.61514955045308,-73.89855633630317,Bergen Beach,XXX
Brooklyn,New York,40.62559589869843,-73.95759523489838,Midwood,XXX
Brooklyn,New York,40.647008603185185,-73.96261316716048,Prospect Park South,XXX
Brooklyn,New York,40.62384524478419,-73.91607483951324,Georgetown,XXX
Brooklyn,New York,40.70849241041548,-73.93885815269195,East Williamsburg,XXX
Brooklyn,New York,40.714822906532014,-73.95880857587582,North Side,XXX
Brooklyn,New York,40.71086147265064,-73.95800095153331,South Side,XXX
Brooklyn,New York,40.61305976667942,-73.96836678035541,Ocean Parkway,XXX
Brooklyn,New York,40.61476812694226,-74.03197914537984,Fort Hamilton,XXX
Manhattan,New York,40.71561842231432,-73.99427936255978,Chinatown,XXX
Manhattan,New York,40.85190252555305,-73.93690027985234,Washington Heights,XXX
Manhattan,New York,40.86768396449915,-73.92121042203897,Inwood,XXX
Manhattan,New York,40.823604284811935,-73.94968791883366,Hamilton Heights,XXX
Manhattan,New York,40.8169344294978,-73.9573853935188,Manhattanville,XXX
Manhattan,New York,40.81597606742414,-73.94321112603905,Central Harlem,XXX
Manhattan,New York,40.79224946663033,-73.94418223148524,East Harlem,XXX
Manhattan,New York,40.775638573301805,-73.96050763135,Upper East Side,XXX
Manhattan,New York,40.775929849884875,-73.94711784471826,Yorkville,XXX
Manhattan,New York,40.76811265828733,-73.9588596881376,Lenox Hill,XXX
Manhattan,New York,40.76215960576283,-73.94916769227953,Roosevelt Island,XXX
Manhattan,New York,40.787657998534854,-73.97705923630603,Upper West Side,XXX
Manhattan,New York,40.77352888942166,-73.98533777001262,Lincoln Square,XXX
Manhattan,New York,40.75910089146212,-73.99611936309479,Clinton,XXX
Manhattan,New York,40.75469110270623,-73.98166882730304,Midtown,XXX
Manhattan,New York,40.748303077252174,-73.97833207924127,Murray Hill,XXX
Manhattan,New York,40.744034706747975,-74.00311633472813,Chelsea,XXX
Manhattan,New York,40.72693288536128,-73.99991402945902,Greenwich Village,XXX
Manhattan,New York,40.727846777270244,-73.98222616506416,East Village,XXX
Manhattan,New York,40.71780674892765,-73.98089031999291,Lower East Side,XXX
Manhattan,New York,40.721521967443216,-74.01068328559087,Tribeca,XXX
Manhattan,New York,40.71932379395907,-73.99730467208073,Little Italy,XXX
Manhattan,New York,40.72218384131794,-74.00065666959759,Soho,XXX
Manhattan,New York,40.73443393572434,-74.00617998126812,West Village,XXX
Manhattan,New York,40.797307041702865,-73.96428617740655,Manhattan Valley,XXX
Manhattan,New York,40.807999738165826,-73.96389627905332,Morningside Heights,XXX
Manhattan,New York,40.737209832715,-73.98137594833541,Gramercy,XXX
